Cross-Validation Fold,Trial Number,Score,Feature Dimensions,Number of Heads,Head Dimensions,Dropout Rate,Activation Function,Normalization Type,ArcFace Scaling Factor,ArcFace Angular Margin Penalty,Lambda Center,Optimizer,Learning Rate,Weight Decay,Momentum,Optimizer Center,Learning Rate Center,Weight Decay Center,Momentum Center,Scheduler,Scheduler T0,Scheduler Eta Min,Scheduler Step Size,Scheduler Gamma,Scheduler Center,Scheduler Center T0,Scheduler Center Eta Min,Scheduler Center Step Size,Scheduler Center Gamma,State
Fold 1,0,0.9696526964882372,256,3,256,0.20940831868389298,selu,none,48,0.40540095338483084,0.07259435990481092,AdamW,2.909572112803442e-05,0.0005596573518658511,,SGD,3.7740699048920205e-05,8.353900758785089e-06,0.9031517867015441,cosine,6.0,4.8570531646643516e-05,,,steplr,,,20.0,0.6314540371201223,COMPLETE
Fold 1,1,0.9542457808253085,512,3,512,0.30440819273119607,gelu,none,48,0.36119516402933793,0.05996348842834022,AdamW,0.0007775023410833816,2.266224308250346e-05,,SGD,0.00023314165577565196,6.789579768531191e-05,0.8776526620492675,steplr,,,15.0,0.5154464063656634,steplr,,,10.0,0.8256031492472019,COMPLETE
Fold 1,2,0.6084039740314586,128,2,128,0.4879575539665238,gelu,none,49,0.369618272532941,0.09699987800796497,SGD,4.193758314691445e-05,1.8777952522158726e-05,0.8033172815400408,AdamW,2.323132539392843e-05,0.0004594614077989663,,steplr,,,6.0,0.8327143046661765,steplr,,,8.0,0.35233479826861325,COMPLETE
Fold 1,3,0.979384680816843,512,3,128,0.3042601410109425,gelu,none,52,0.3186823340970073,0.00747945766280464,AdamW,0.00010583556275964079,1.566657787765498e-06,,AdamW,0.0008172906850921946,4.912413542965467e-06,,cosine,7.0,2.9982731259015975e-05,,,steplr,,,6.0,0.7866276170059846,COMPLETE
Fold 1,4,0.9772266175189804,512,2,128,0.42717729828412315,gelu,batch,51,0.39796774186448014,0.008602555406012166,AdamW,0.00013919725913053227,2.9643440903621105e-05,,SGD,0.00038285401063196305,8.387186696571437e-05,0.9270378137587493,steplr,,,9.0,0.42268363304802636,cosine,7.0,2.8163693878549346e-05,,,COMPLETE
Fold 1,5,0.9689820478089013,128,2,128,0.4758238378250761,gelu,none,50,0.37913028062700294,0.010532007964567524,AdamW,1.4872846636988318e-05,0.000578926527542601,,AdamW,3.1591512041102284e-05,9.031787623206464e-05,,steplr,,,17.0,0.8325763507091873,cosine,8.0,1.225974168242555e-05,,,COMPLETE
Fold 1,6,0.9671137026587173,512,1,256,0.23858842145885528,gelu,batch,55,0.42699438499934983,0.09718472539678855,SGD,0.0008077151733443122,5.88160571978625e-06,0.81421369711416,AdamW,7.591274204419013e-05,2.5758510828097842e-05,,steplr,,,9.0,0.16171171900053052,cosine,7.0,5.239957108238541e-05,,,COMPLETE
Fold 1,7,0.9186219664734786,128,1,256,0.11341335355405768,relu,batch,61,0.3231404903603217,0.030515075771169436,AdamW,1.4865715868330217e-05,0.0003528023797040068,,AdamW,8.229854147017076e-05,0.00016089666302922134,,steplr,,,15.0,0.1065845979819363,steplr,,,8.0,0.8584194348904363,COMPLETE
Fold 1,8,0.581839779563296,384,3,256,0.09508819073307884,relu,none,56,0.4859476681841071,0.07362113976915054,SGD,5.928672204336519e-05,0.00020900440980933406,0.9010668720644608,SGD,1.7403114170830073e-05,2.2482114026007636e-06,0.8597294919957743,steplr,,,6.0,0.10289472743896654,cosine,3.0,8.715747721168821e-05,,,COMPLETE
Fold 1,9,0.9600393616650363,512,1,512,0.021928085452047885,relu,batch,54,0.39624397290524294,0.09722110828965326,AdamW,4.3641995826971276e-05,4.5292396572902046e-05,,SGD,5.699209318087194e-05,3.706253386461281e-06,0.8350490958681553,steplr,,,8.0,0.36741675691245634,cosine,5.0,6.224104701133307e-05,,,COMPLETE
